x,y,psi,vorticity,u,v
0.015625,0.78125,-2.03102e-05,0.180677,-0.00266884,-0.000305204
0.015625,0.789062,-1.79663e-05,0.163255,-0.0023775,-0.000294231
0.015625,0.796875,-1.57128e-05,0.146449,-0.0020971,-0.000282105
0.015625,0.804688,-1.35585e-05,0.130317,-0.0018287,-0.000268878
0.015625,0.8125,-1.15116e-05,0.114918,-0.00157332,-0.000254612
0.015625,0.820312,-9.58013e-06,0.100304,-0.00133192,-0.000239377
0.015625,0.828125,-7.77133e-06,0.0865235,-0.00110536,-0.000223249
0.015625,0.835938,-6.09187e-06,0.0736212,-0.000894457,-0.000206312
0.015625,0.84375,-4.54771e-06,0.0616358,-0.000699925,-0.000188657
0.015625,0.851562,-3.1441e-06,0.0506003,-0.000522385,-0.000170386
0.015625,0.859375,-1.88543e-06,0.0405417,-0.000362358,-0.000151608
0.015625,0.867188,-7.75223e-07,0.0314796,-0.000220253,-0.000132444
0.015625,0.875,1.84009e-07,0.0234262,-9.63551e-05,-0.000113027
0.015625,0.882812,9.90821e-07,0.0163853,9.18679e-06,-9.35021e-05
0.015625,0.890625,1.64498e-06,0.010351,9.63724e-05,-7.4034e-05
0.015625,0.898438,2.1476e-06,0.00530726,0.000165369,-5.48073e-05
0.015625,0.90625,2.50134e-06,0.00122609,0.000216535,-3.60339e-05
0.015625,0.914062,2.71063e-06,-0.00193357,0.00025044,-1.79593e-05
0.015625,0.921875,2.78196e-06,-0.00422769,0.000267904,-8.73794e-07
0.015625,0.929688,2.72428e-06,-0.005729,0.000270036,1.48747e-05
0.015625,0.9375,2.54954e-06,-0.00652893,0.000258283,2.88619e-05
0.015625,0.945312,2.27332e-06,-0.00673932,0.000234493,4.05632e-05
0.015625,0.953125,1.91574e-06,-0.00649306,0.000200992,4.93253e-05
0.015625,0.960938,1.50261e-06,-0.00594176,0.000160662,5.43379e-05
0.015625,0.96875,1.06671e-06,-0.00524675,0.000117014,5.4628e-05
0.015625,0.976562,6.49047e-07,-0.00455532,7.42294e-05,4.91432e-05
0.015625,0.984375,2.98848e-07,-0.00394763,3.70797e-05,3.71094e-05
0.015625,0.992188,6.92128e-08,-0.00333146,1.06604e-05,1.91263e-05
0.015625,1,0,-0.00226795,0,0
0.0234375,0,0,-0.00658061,0,0
0.0234375,0.0078125,2.0083e-07,-0.00320372,1.18423e-05,-3.86531e-05
0.0234375,0.015625,6.03955e-07,-2.54332e-05,3.21138e-05,-5.38947e-05
0.0234375,0.0234375,1.04293e-06,0.00300958,5.04978e-05,-5.02509e-05
0.0234375,0.03125,1.38913e-06,0.00603177,5.93495e-05,-3.23991e-05
0.0234375,0.0390625,1.54917e-06,0.00920882,5.29272e-05,-4.46408e-06
0.0234375,0.046875,1.45888e-06,0.0127081,2.70427e-05,3.02383e-05
0.0234375,0.0546875,1.0767e-06,0.0166755,-2.12008e-05,6.91715e-05
0.0234375,0.0625,3.78073e-07,0.0212273,-9.36476e-05,0.000110443
0.0234375,0.0703125,-6.48979e-07,0.0264501,-0.000191304,0.00015266
